posted_date,author_name,author_headline,author_type,is_repost,has_media,likes,comments,reposts,total_engagement,summary,post_text,post_url
2026-09-16,Roland Busch,President and CEO of Siemens AG,person,no,yes,5319,175,89,5583,"Siemens CEO Roland Busch describes an on-stage moment with Jensen Huang and Benioff, announcing scaled agentic AI collaboration across industries with NVIDIA and Salesforce.","Reaching new heights in Industrial AI together – literally. 🚀😃
 
Jensen Huang joked today that he'd need a chair to stand between Marc Benioff and me.
 
Happy to provide that „boost"" - and to bring AI to new heights in the real world as we scale agentic AI  across industries together with NVIDIA and Salesforce.
 
A great moment with two partners who know exactly how the future is being built. #DF26",https://www.linkedin.com/posts/buschroland_df26-activity-7505888552329650176-sm-A
2026-09-16,NVIDIA,"6,561,706 followers",company,no,yes,4165,230,270,4665,"NVIDIA recaps Jensen Huang's Dreamforce conversation with Marc Benioff on open models and agentic enterprise, noting Salesforce introduced Koa, its CRM reasoning model built on NVIDIA Nemotron.","Now we can know everything and do anything. 

That is the AI future Jensen Huang described at Dreamforce, where he joined Marc Benioff for a conversation about open models, safe innovation, and the agentic enterprise.

Salesforce also introduced Koa, its first CRM reasoning model built on NVIDIA Nemotron.

Read the recap: https://lnkd.in/ggK46nn3",https://www.linkedin.com/posts/nvidia_now-we-can-know-everything-and-do-anything-activity-7505754268881301504-93RH
2026-09-15,Salesforce,"6,803,824 followers",company,no,yes,3552,67,492,4111,"Salesforce highlights Anthropic's Dreamforce demo showing Claude querying Salesforce data, building command centers, and sharing artifacts in Slack/Teams via 37+ pre-built Sales skills.","Salesforce context, inside Claude 

Live at Dreamforce, Anthropic showed what the Claudeforce partnership makes possible:

→ Ask Claude about your Salesforce data
→ Build a command center
→ Build + share Claude-generated artifacts in Slack & Teams

Under the hood: Salesforce context, permissions, data, and actions

Plus 37+ pre-built Sales skills. Zero custom engineering to get started.",https://www.linkedin.com/posts/salesforce_salesforce-context-inside-claude-live-ugcPost-7505688964670853122-ypXz
2026-09-08,Salesforce,"6,804,323 followers",company,no,no,3740,61,171,3972,Salesforce's company page announces that Dreamforce is one week away.,Excited to announce that Dreamforce is one week away!,https://www.linkedin.com/posts/salesforce_excited-to-announce-that-dreamforce-is-one-ugcPost-7503118189694926849-MDGx
2026-09-15,Salesforce,"6,804,232 followers",company,no,yes,3711,46,189,3946,"Salesforce announces Jensen Huang joining the Dreamforce Main Keynote at 10 a.m. PT, streamed free on Salesforce+.","NVIDIA x Salesforce have been cooking

Jensen Huang is coming to the Dreamforce Main Keynote today at 10 a.m. PT

See what we’ve been up to — IRL in SF or free on Salesforce+: https://sforce.co/4h8oCTM",https://www.linkedin.com/posts/salesforce_nvidia-x-salesforce-have-been-cooking-jensen-activity-7505655273307648000-s0BG
2026-09-11,Salesforce,"6,804,232 followers",company,no,no,3218,87,229,3534,"Salesforce announces a Dreamforce conversation between Sam Altman and Marc Benioff on AI, ChatGPT, and the OpenAI-Salesforce partnership, streaming free on Salesforce+.","Only at Dreamforce: Sam Altman x Marc Benioff 

They’ll explore the AI frontier, ChatGPT, and how OpenAI & Salesforce are turning intelligence into trusted tools for businesses

🌉 Join us in San Francisco: https://sforce.co/4r66nTJ
▶️ Stream free on Salesforce+: https://sforce.co/3TogSVW",https://www.linkedin.com/posts/salesforce_only-at-dreamforce-sam-altman-x-marc-benioff-activity-7504235677832830976-mEKz
2026-09-10,Salesforce,"6,804,232 followers",company,no,yes,2859,71,320,3250,"Salesforce promotes a Dreamforce session where Dario Amodei and Marc Benioff discuss the Claudeforce partnership between Anthropic and Salesforce, streamed live on Salesforce+.","Salesforce 🤝 Anthropic 

The #1 AI meets the #1 CRM at Dreamforce 

Join Dario Amodei and Marc Benioff as they discuss the Claudeforce partnership and share their vision for AI

Plus, get hands-on with Salesforce innovations featuring Claude through immersive experiences and workshops

Experience the conversation live in San Francisco or stream it for free on Salesforce+: https://sforce.co/4gxIkJG",https://www.linkedin.com/posts/salesforce_salesforce-anthropic-the-1-ai-meets-activity-7501732867732000768-O3ON
2026-09-08,Informatica,"381,802 followers",company,no,no,2804,36,59,2899,Informatica announces its debut appearance at Dreamforce as part of the Salesforce family.,We’re excited to announce our Dreamforce debut as part of the Salesforce family!,https://www.linkedin.com/posts/informatica_were-excited-to-announce-our-dreamforce-activity-7503108027156365312-ieKS
2026-09-14,Carlos Ali,"Revenue Cloud (ARM), CPQ, and Communications Cloud Leader",person,no,yes,26,4,0,30,"Slalom's Carlos Ali invites attendees to find Slalom's sessions, events, and booth, and mentions he is hiring.","Dreamforce week is here!! 

Looking forward to connecting with customers, partners, colleagues, and old friends around what’s next for Salesforce, AI, and the future of work.

If you’re attending, come find Slalom at our sessions, events, or booth: https://lnkd.in/eqPp95Hf 

I'm also hiring so let's chat!",https://www.linkedin.com/posts/carlosali_dreamforce-week-is-here-looking-forward-activity-7505313526438092802-bi_f
2026-09-17,Salesforce,"6,804,309 followers",company,no,yes,106,0,3,109,"Salesforce's company page quotes Christian Duggal Conradsen on Siemens' CEO joining Marc Benioff onstage, noting Agentforce Operations cut partner and supplier onboarding time by up to 80%.","What is your favourite moment from Dreamforce? 💙

For Christian Duggal Conradsen, seeing customers bring their stories to life is what makes Dreamforce special - like Siemens, whose CEO joined Marc on stage to share how Agentforce Operations is cutting partner and supplier onboarding time by up to 80%. It's a reminder that people are at the heart of the transition to the Agentic Enterprise.

And what is he bringing back to Swedish customers? Confidence and ambition. Technology is no longer the barrier, it’s people who will turn the possibilities into real impact.

Experience Dreamforce wherever you are. Watch it all on Salesforce+
https://lnkd.in/gNHjYgdq",https://www.linkedin.com/posts/salesforce_what-is-your-favourite-moment-from-dreamforce-activity-7506328045268582400-dtqp
